No,Datetime,User,Text
98,2020-01-20 17:14:03+00:00,anwar91muhlasin,dibela belain berlangganan @vidio buat nonton #Gundala eh malah video nya ngeload doang cuma terdengar suara. Padahal wifinya lumayan stabil buat streaming @YouTube aja lancar loh. 
99,2020-01-20 14:59:47+00:00,Kang_epen,#LastChristmas #KnivesOut #StarWarsTheRiseofSkywalker #Gundala #Joker #GoodBoys #ITChapter2
100,2020-01-20 13:35:49+00:00,AfdhilaArvin,Damn..... thanks to @jodi_khair who post it on FB #Bumilangit #JSB #JagatSinemaBumilangit #Gundala #Godam #SriAsih #Pengkor #Ghazul #Maza @DIP_DIP70
101,2020-01-20 13:16:33+00:00,AfdhilaArvin,Alhamdulillah #JagatSinemaBumiLangit #Bumilangit #Gundala #Sibutadariguahantu #Pengkor @DIP_DIP70 SC : https://web.facebook.com/groups/bumilangitrakyatposting/permalink/530550707698744/
102,2020-01-20 10:00:19+00:00,bumilangitcom,Sobat Bumilangit kini Gundala sudah bisa ditonton di @vidiodotcom loh! Mulai nonton film Indonesia secara legal yuk untuk mendukung majunya dunia perfilman Indonesia! . #bumilangit #jagoanindonesia #gundala #negeriinibutuhpatriot #GundaladiVidio
103,2020-01-20 09:49:17+00:00,FarhanMz192000,Penasaran ka si ghazul #Gundala
104,2020-01-20 09:45:47+00:00,haidikk,Jangan ikut campur urusan orang lain atau lo bakal dalam masalah. -Gundala a film by @jokoanwar @gundalaofficial #gundala 
105,2020-01-20 08:24:10+00:00,Khariestama,Pingin ngadain nobar #Gundala nya mas @jokoanwar di warkop menarik kayaknya
106,2020-01-20 08:10:17+00:00,M_Agus_Rizal,Mendung+petir ky gini cocoknya nonton Gundala. Betul gak Mas @jokoanwar . #gundala 
107,2020-01-20 06:00:34+00:00,fetchdeepdream,#DeepDream #DeepDreamGallery #Pytorch #Digitalart #Gundala 2019 
108,2020-01-19 22:02:24+00:00,asymthothic,#Gundala udah bisa dilihat di situs legal Vidio yaaa. Jangan lupa langganan 
109,2020-01-19 19:05:47+00:00,kurisetaru_,Akhirnya nonton #Gundala. Awang so cool!!!!
110,2020-01-19 16:51:20+00:00,i549,It's really difficult not to compare #Gundala to pre-existing superhero movies from Hollywood especially when it's trying so hard to be one. Or at least feel like one. You can tell most of the lines feel like they were originally written in English.
111,2020-01-19 16:51:19+00:00,i549,#Gundala has very little or no level of originality. Beginning from the title card up until the end credits I can tell you where they probably draw inspiration from. With the end credits being the one that's so obviously trying to mimic Captain America: Civil War's.
112,2020-01-19 16:51:18+00:00,i549,They did the title character dirty. They didn't have the intention whatsoever to tell his story properly. All they cared about is how to cram as much as stuff from the books. It ended up getting in the way of letting him be the main focus of the story. Such a disservice. #Gundala
113,2020-01-19 16:51:17+00:00,i549,Finally picked it up bcs my cousin wouldn't shut up about it. I was instantly skeptical when I saw the runtime. I said it couldn't possibly be justified. And it couldn't indeed. I was so sure that at least an hour had passed when actually it had been only 40mins. #Gundala 
114,2020-01-19 15:28:23+00:00,denhenry23,Setelah nonton ulang #Gundala baru ngeh kalo kalimat Wulan tentang ketidakadilan di depan mata mungkin saja dia dengar dari ibu Sancaka (menirukan kalimat bapaknya) yang dia temui di Tenggara. Bener ga sih Bang? @jokoanwar
115,2020-01-19 14:49:40+00:00,ClarkMustaine,Selamat untuk temen2 di Indo yang udah bisa nonton @gundalaofficial #Gundala #GundalaDiVidio @bumilangitcom kami yg di luar masih menunggu. Sudah subscribe vidio tapi kebanyakan content tdk bs diakses dr luar termasuk Gundala.
116,2020-01-19 13:16:05+00:00,Yusuf_Bhactiar,Abis nonton #Gundala di @vidio karna dulu ga sempet liat di bioskop. Rela streaming and emang gila sih filmnya. Soal plot twist story ketegangan emang @jokoanwar masternya. Castnya manteb semua. Setting pecah. Nggak sabar nunggu #SriAsih.
117,2020-01-19 13:15:16+00:00,RotzeRR,#Gundala Im Vergleich zum Marvel/DC-Kram Ã¼berraschend dÃ¼ster und brutal. Leider viel zu lang da wollte man wohl schon zu viel aus den Comics Ã¼bernehmen.
118,2020-01-19 13:00:55+00:00,wayangpeople,Read our full review on #gundala here guys https://www.instagram.com/p/B7fmJkUpVuh/?igshid=dqnsz2hu5pek
119,2020-01-19 11:16:59+00:00,yersumi,Ngelihat #Morbius kecilmalah inget Pengkor #Gundala Mengenal Karakter MorbiusVampire Di Film Marvel Terbaru 
120,2020-01-19 11:15:15+00:00,sangpenjihir,an alternate universe where everything is the same but Sancaka can see spirits (and haunted by his dead father). #bumilangit #gundala #kleniksancakaau
121,2020-01-19 10:28:30+00:00,imacreepima,Introvert be like : #introvert #gundala 
122,2020-01-19 09:40:44+00:00,bicaraboxoffice,A personal deep-dive into #Gundala. Obviously a thread. Warning: ini nggak ada objektifÂ²nya sama sekali. Memang ini film orang lain yang bikin produseri sutradarai perankan. Tapi saya merasa ini film saya banget. 
123,2020-01-19 08:13:40+00:00,NAMursyid,Ingin nonton gundala lagi tapi lumayan loh biaya langganan streamingnya bari jeung gak akan sering kepake nunggu yang fisik apakah hanya akan jadi angan2 belaka? #Gundala
124,2020-01-19 08:10:13+00:00,bumilangitcom,Sobat Bumilangit Tahukah kamu jika Anak Bapak ada ribuan dan tersebar di seluruh penjuru negeri? Kini kamu bisa sekeren Anak Bapak dengan couch jacket dari @tokosamisami! Yuk dapetin sekarang! . #Bumilangit #gundala #NegeriIniButuhPatriot #JagoanIndonesia
125,2020-01-19 06:25:29+00:00,bumilangitcom,Sobat Bumilangit Siap menghadapi Bapak dan para Anak Bapak? . #Bumilangit #gundala #NegeriIniButuhPatriot #JagoanIndonesia #Gundaladividio
126,2020-01-19 06:16:47+00:00,fransalchemist,Kesempatan nih yg belum nonton tp gak mau dicap pembajak hehehe.. #Gundala #vidio #CintaProdukIndonesia
127,2020-01-19 06:00:32+00:00,fetchdeepdream,#DeepDream #DeepDreamGallery #Pytorch #Digitalart #Gundala 2019 
128,2020-01-19 05:12:32+00:00,grego_mandarino,Langganan vidio cman pengen nonton Gundalanya bang @jokoanwar gak pernah bosen nonton berulang kali.... #Gundala #HappySunday
129,2020-01-19 05:04:18+00:00,ikanatassa,I looove how visually striking #Gundala is. it's by far one of the best cinematography i've seen in any Indonesian movies so far. and the scoring is amazing! as the start of superhero universe in Indonesia it's more than enough. However ... 
130,2020-01-19 05:00:37+00:00,gundalaofficial,Stop nonton bajakan! Hargai dan dukung karya bangsa sendiri. Nonton #Gundala streaming di @vidio terjangkau kok! #NontonGakPakeRibet
131,2020-01-19 04:56:07+00:00,pastelcake2,di Vidio promo #Gundala cuma 10ribu ada diskon lagi dari beberapa dompet digital. kalau udah segitu masih cari gratisan bajakan sih kelewatan banget. yang jenis2 gitu biasanya udh ga mau effort tapi kalau kritik paling depan.
132,2020-01-19 04:52:08+00:00,VernardoLau,Hey @catchplayplusID where's that #Gundala? Why the hell you guys didn't released there first? 
133,2020-01-19 04:12:50+00:00,ArinahZainordin,Semalam tengok #Gundala dgn CEO &amp
134,2020-01-19 02:57:58+00:00,IntanOktora,ketemu gerombolan #Gundala dong tpi fotonya sama 1 gundala aja cukup Today is a happy workout 
135,2020-01-19 02:27:24+00:00,dwyndwyn_,The First Patriot was born #Gundala 
136,2020-01-18 17:44:43+00:00,Versi_Ku,#Gundala scene #iykwim
137,2020-01-18 16:20:20+00:00,Zulkifli_Ramsun,Baru nonton keren euy.. @gundalaofficial ala bang @jokoanwar sangat potensial memang. Salut ! Sukses buat universe @bumilangitcom #Gundala #GundalaDiVidio
138,2020-01-18 16:19:07+00:00,DevanEfrilien54,Sekali2 nonton legal yekan hahaha #DemiSlepetanSriAsih #Gundala 
139,2020-01-18 13:48:51+00:00,fullyhdmoviesz,Download Streaming Film Gundala (2019) 1080p WEB-DL Selengkapnya: https://justpaste.it/gundala ___ #BumiLangit #Gundala #GundalaDiVidio #NegeriIniButuhPatriot #FullyHDMovies
